id,transaction_id,product_id,quantity,price
1,1,2,3,45.06
2,2,3,1,45.27
3,2,13,3,147.17
4,2,9,1,145.57
5,2,6,2,63.21
6,3,18,2,194.45
7,3,8,1,97.66
8,3,15,3,131.79
9,3,19,3,141.93
10,4,9,3,42.92
11,4,10,1,112.77
12,4,10,3,152.29
13,4,14,2,109.8
14,4,13,3,131.19
15,5,9,1,69.34
16,6,5,1,12.71
17,6,1,1,78.06
18,6,14,2,180.64
19,6,1,1,40.53
20,7,16,2,166.39
21,7,2,2,37.69
22,7,18,1,188.74
23,7,16,3,187.67
24,8,14,3,176.65
25,8,14,3,192.37
26,8,3,1,71.2
27,8,3,3,86.25
28,8,17,2,143.21
29,9,13,2,172.79
30,9,9,3,162.01
31,9,13,3,163.91
32,9,6,3,58.44
33,9,9,1,51.68
34,10,15,3,169.86
35,10,1,1,26.26
36,10,14,1,116.14
37,10,3,2,56.36
38,11,9,1,84.58
39,11,16,2,124.85
40,11,10,2,199.95
41,11,2,3,48.84
42,11,2,1,23.08
43,12,6,3,47.89
44,12,1,2,74.76
45,12,9,1,87.01
46,12,15,1,143.19
47,12,8,3,278.81
48,13,3,2,28.03
49,13,11,3,149.99
50,13,3,3,62.16
51,14,12,2,165.96
52,15,5,3,41.29
53,16,10,3,183.51
54,16,4,3,97.22
55,16,8,1,112.41
56,16,2,1,18.88
57,16,11,2,112.65
58,17,16,2,128.35
59,17,2,3,49.47
60,17,4,2,97.44
61,17,4,1,52.73
62,17,4,1,90.84
63,18,5,1,40.45
64,19,13,1,114.7
65,20,17,1,189.34
66,20,18,3,181.39
67,20,10,2,134.74
68,20,14,1,177.35
69,20,14,1,160.72
70,21,1,1,61.23
71,21,12,1,126.33
72,22,1,2,96.75
73,23,6,1,37.66
74,23,17,2,166.81
75,23,16,2,118.06
76,24,5,1,36.47
77,25,2,3,17.17
78,25,15,2,101.99
79,25,5,3,40.6
80,26,1,3,95.82
81,26,14,1,168.39
82,26,2,3,30.81
83,26,16,1,179.83
84,27,18,1,119.29
85,27,6,3,93.03
86,27,17,2,160.87
87,28,1,2,43.48
88,28,12,3,142.97
89,28,17,3,180.09
90,28,17,3,129.67
91,29,16,3,187.49
92,30,7,2,43.8
93,30,19,2,125.13
94,30,2,1,16.56
95,31,13,2,135.29
96,31,9,3,70.37
97,31,12,2,199.06
98,31,1,2,71.68
99,32,11,2,110.29
100,32,15,1,162.96
101,32,16,2,194.91
102,33,18,3,178.92
103,33,11,2,135.73
104,33,4,3,37.54
105,34,12,1,120.51
106,34,7,1,160.23
107,34,16,2,170.99
108,34,13,1,104.88
109,35,12,2,143.17
110,35,10,2,196.99
111,35,11,1,195.28
112,36,16,3,159.37
113,36,4,2,52.38
114,36,19,1,129.03
115,37,1,1,60.04
116,37,4,3,25.55
117,38,15,1,107.26
118,38,3,1,69.42
119,38,15,3,129.81
120,38,5,3,29.7
121,39,17,1,195.21
122,39,5,2,40.0
123,39,13,2,186.9
124,39,4,3,52.51
125,39,2,1,26.31
126,40,13,1,107.86
127,40,18,1,157.29
128,40,3,2,37.93
129,41,1,2,29.81
130,41,6,2,80.48
131,41,17,1,115.48
132,42,4,2,64.24
133,42,5,2,33.0
134,42,17,3,187.8
135,42,2,3,23.15
136,42,8,2,155.78
137,43,4,3,74.09
138,43,13,1,130.3
139,43,3,3,28.52
140,43,11,2,138.63
141,43,9,3,187.95
142,44,11,1,123.49
143,44,16,2,125.52
144,44,8,1,167.25
145,44,8,3,155.96
146,44,11,3,156.06
147,45,6,3,68.99
148,45,8,1,166.66
149,46,8,1,64.27
150,46,1,3,81.47
151,46,9,3,176.84
152,46,5,3,43.0
153,47,8,2,117.3
154,47,3,2,79.93
155,47,1,3,57.77
156,47,12,1,125.85
157,47,17,1,168.41
158,48,15,1,171.4
159,48,15,3,187.0
160,48,13,1,160.82
161,48,10,3,179.51
162,48,15,3,105.2
163,49,11,2,165.48
164,49,3,2,88.81
165,49,16,1,143.36
166,50,15,3,102.58
167,51,4,2,51.5
168,51,5,3,18.87
169,51,18,2,187.85
170,51,3,1,65.21
171,52,2,2,23.46
172,52,3,1,80.58
173,52,11,1,176.83
174,52,12,1,134.15
175,53,3,1,71.5
176,53,3,1,33.57
177,54,10,2,153.71
178,55,12,1,173.37
179,55,9,1,129.2
180,55,11,2,117.79
181,56,9,3,130.5
182,56,10,1,154.8
183,56,9,1,36.17
184,57,7,1,123.65
185,57,17,2,118.22
186,57,3,1,58.84
187,57,8,2,133.83
188,57,3,2,36.79
189,58,14,2,146.24
190,58,6,3,34.93
191,58,2,3,30.41
192,59,9,3,72.99
193,59,7,1,97.49
194,59,6,2,45.89
195,59,1,1,39.12
196,59,1,1,62.48
197,60,17,1,131.0
198,60,4,3,84.44
199,61,7,2,95.27
200,62,3,1,27.57
201,62,14,1,140.01
202,62,10,3,140.04
203,62,2,2,42.19
204,62,17,2,120.22
205,63,3,2,28.5
206,64,7,3,137.33
207,64,9,1,165.86
208,64,17,1,164.78
209,64,9,1,71.11
210,65,19,2,110.59
211,65,2,1,32.72
212,65,15,3,129.88
213,65,19,3,194.58
214,65,15,2,177.4
215,66,18,2,119.78
216,66,6,2,97.31
217,66,16,3,118.64
218,67,5,1,35.92
219,67,1,1,31.8
220,67,1,1,41.91
221,67,6,2,23.11
222,68,5,1,20.77
223,68,5,1,11.85
224,68,19,3,140.61
225,68,5,2,17.02
226,69,15,1,124.01
227,70,3,3,30.6
228,70,6,2,22.59
229,71,14,3,190.1
230,71,6,3,79.21
231,71,6,3,31.71
232,72,13,2,118.01
233,72,16,1,159.06
234,72,10,2,107.48
235,73,10,2,122.02
236,73,15,1,172.85
237,73,9,1,52.58
