id,transaction_id,product_id,quantity,price
1,1,15,2,122.64
2,1,17,1,144.94
3,1,11,1,180.04
4,1,19,1,110.17
5,2,18,1,190.52
6,2,7,2,67.74
7,2,4,1,80.6
8,2,3,1,96.37
9,3,6,2,29.5
10,3,6,3,55.94
11,4,3,2,75.15
12,4,19,3,149.34
13,5,20,2,199.22
14,5,8,2,47.09
15,5,15,3,176.03
16,5,20,2,174.46
17,5,4,3,92.47
18,6,5,1,20.99
19,6,5,1,35.47
20,6,19,2,164.41
21,7,2,1,36.9
22,7,21,3,193.84
23,7,19,3,176.22
24,7,2,1,60.7
25,8,4,3,74.05
26,9,17,3,131.44
27,10,16,2,125.07
28,10,20,1,170.57
29,10,17,2,178.54
30,10,15,1,144.71
31,11,1,1,55.15
32,11,5,1,62.87
33,11,8,1,36.29
34,11,11,1,172.54
35,11,14,1,160.35
36,12,21,1,186.49
37,12,16,1,145.08
38,12,13,2,115.41
39,12,6,1,87.74
40,13,11,1,102.06
41,13,4,1,85.91
42,14,11,3,38.79
43,14,12,3,120.99
44,14,16,1,114.33
45,14,10,1,118.8
46,15,20,2,109.22
47,16,18,2,116.6
48,16,13,3,113.89
49,17,3,3,27.55
50,17,21,3,114.66
51,18,2,2,34.79
52,18,1,1,25.07
53,18,4,3,49.2
54,18,14,1,102.69
55,18,4,1,69.57
56,19,11,2,110.52
57,19,2,3,61.81
58,19,17,3,150.85
59,20,12,1,188.98
60,20,7,3,55.53
61,20,2,2,70.44
62,21,17,1,169.3
63,21,3,2,22.53
64,21,13,1,108.3
65,21,14,2,155.99
66,22,17,1,116.61
67,22,7,3,57.88
68,22,20,3,168.41
69,22,20,1,152.62
70,23,2,3,89.66
71,23,16,3,175.29
72,23,1,2,45.69
73,23,7,3,78.97
74,23,4,3,84.53
75,24,1,2,51.33
76,25,21,2,189.69
77,25,17,2,126.94
78,25,5,3,63.86
79,25,4,2,71.57
80,25,1,2,32.43
81,26,11,2,102.04
82,26,19,1,132.61
83,27,12,2,194.14
84,27,20,3,102.4
85,27,3,2,85.49
86,28,17,2,191.63
87,28,8,2,44.11
88,28,1,3,56.16
89,29,13,1,107.2
90,29,12,2,157.1
91,29,3,1,35.32
92,29,18,3,122.88
93,29,4,1,68.88
94,30,19,3,109.56
95,30,8,1,41.11
96,30,17,1,93.83
97,30,17,2,95.06
98,31,5,3,48.51
99,31,5,1,75.75
100,31,15,3,194.86
101,31,11,1,191.5
102,31,2,1,92.76
103,32,16,2,131.72
104,33,9,3,44.78
105,33,15,3,187.0
106,33,17,2,127.89
107,33,9,2,111.17
108,34,19,2,95.38
109,34,16,3,189.1
110,35,13,2,134.92
111,36,2,1,82.01
112,36,11,3,189.19
113,36,20,2,102.04
114,37,11,1,97.21
115,37,14,2,149.81
116,38,5,1,58.34
117,38,8,2,71.39
118,39,9,2,107.81
119,39,10,1,186.79
120,39,14,1,163.95
121,40,11,3,110.74
122,40,18,3,163.6
123,40,6,3,63.25
124,41,15,2,144.32
125,41,12,2,147.67
126,42,5,1,42.8
127,42,4,1,69.78
128,42,16,2,122.48
129,42,5,3,85.63
130,43,19,2,182.35
131,43,8,2,72.88
132,43,4,2,83.43
133,44,11,1,131.2
134,45,4,2,69.75
135,45,14,2,141.22
136,46,16,2,169.59
137,46,7,2,26.3
138,47,2,3,80.92
139,47,9,2,194.64
140,48,7,1,70.08
141,48,11,2,98.32
142,48,5,1,65.11
143,49,15,2,133.55
144,50,10,3,170.36
145,50,10,3,69.09
146,50,19,1,104.73
147,50,10,1,172.14
148,50,3,1,52.36
149,51,3,1,36.22
150,52,18,2,130.8
151,52,12,1,195.77
152,52,9,2,168.79
153,52,2,1,69.68
154,53,2,3,89.66
155,53,19,2,115.38
156,53,20,1,116.69
157,53,3,2,83.76
158,53,6,3,87.83
159,54,12,1,142.21
160,54,13,3,132.1
161,55,8,2,43.23
162,55,3,2,62.88
163,55,19,3,108.03
164,56,9,2,157.61
165,57,6,3,97.04
166,58,6,3,62.25
167,58,18,1,179.82
168,58,18,3,171.59
169,59,15,3,110.91
170,59,10,1,186.68
171,59,2,3,54.3
172,59,4,1,93.06
173,59,11,1,151.69
174,60,18,2,142.68
175,60,10,3,34.45
176,60,7,3,59.57
177,60,21,2,152.7
178,61,2,1,20.5
179,61,3,3,56.02
180,62,12,2,110.2
181,63,20,1,118.91
182,63,12,2,165.2
183,64,21,2,180.02
184,64,11,2,105.78
185,64,1,3,94.44
186,64,1,2,28.47
187,64,15,2,150.28
188,65,17,2,178.91
189,65,11,1,88.09
190,65,17,1,119.19
191,66,20,3,186.05
192,66,1,2,55.52
193,67,7,3,26.06
194,67,3,3,60.27
195,67,1,3,70.36
196,67,9,3,37.21
197,67,5,3,82.42
198,68,16,2,174.59
199,68,17,2,131.75
200,69,10,1,126.88
201,69,7,1,61.13
202,69,10,1,150.79
203,70,2,1,50.13
204,71,7,2,25.26
205,71,7,1,28.99
206,71,8,1,93.34
207,72,17,3,151.85
208,73,6,1,81.56
209,73,5,3,37.82
210,74,11,1,106.19
211,75,19,2,115.44
212,76,10,1,104.67
213,76,20,2,105.48
214,76,19,1,161.28
215,77,1,3,82.68
216,78,13,1,107.9
217,79,19,2,130.43
218,79,13,2,166.57
219,79,7,3,98.35
220,80,2,1,50.9
221,80,9,2,39.61
222,80,16,1,192.09
223,81,12,3,155.39
224,81,9,2,96.24
225,81,3,2,55.45
226,81,19,3,117.45
227,81,6,1,90.05
228,82,18,1,138.88
229,82,11,3,71.67
230,82,12,2,196.42
231,83,12,2,101.75
232,84,15,1,161.99
233,84,14,2,171.62
234,85,9,2,146.38
235,85,16,1,112.49
236,85,7,1,45.14
237,86,4,1,44.5
238,86,12,3,108.47
239,86,1,3,98.65
240,86,20,3,162.05
241,86,15,1,125.97
242,87,19,1,166.68
243,88,12,3,141.19
244,88,1,3,20.91
