id,product_id,quantity,subtotal,transaction_date
1,15,2,273.96,2025-01-01T17:26:00
2,1,1,62.44,2025-01-01T17:26:00
3,11,3,172.56,2025-01-01T17:26:00
4,2,1,58.22,2025-01-01T17:26:00
5,14,2,112.98,2025-01-01T17:26:00
6,15,3,410.94,2025-01-01T10:37:00
7,9,2,105.5,2025-01-01T10:37:00
8,3,2,221.68,2025-01-01T10:40:00
9,15,1,136.98,2025-01-01T10:40:00
10,4,1,118.25,2025-01-01T10:40:00
11,14,3,169.47,2025-01-01T10:40:00
12,1,3,187.32,2025-01-01T10:40:00
13,19,1,182.49,2025-01-01T09:25:00
14,11,3,172.56,2025-01-01T09:25:00
15,9,2,105.5,2025-01-01T09:25:00
16,15,3,410.94,2025-01-01T09:25:00
17,18,2,318.94,2025-01-01T21:19:00
18,9,2,105.5,2025-01-01T21:19:00
19,6,3,313.8,2025-01-01T21:19:00
20,15,2,273.96,2025-01-01T21:19:00
21,11,2,115.04,2025-01-01T06:14:00
22,18,3,478.41,2025-01-01T06:14:00
23,5,1,128.68,2025-01-01T06:14:00
24,8,1,107.09,2025-01-01T06:14:00
25,10,3,330.81,2025-01-01T06:14:00
26,6,1,104.6,2025-01-01T09:11:00
27,14,3,169.47,2025-01-01T06:06:00
28,15,1,136.98,2025-01-01T06:06:00
29,8,2,214.18,2025-01-01T10:55:00
30,5,1,128.68,2025-01-01T10:55:00
31,4,1,118.25,2025-01-01T16:03:00
32,16,2,377.5,2025-01-01T16:03:00
33,14,3,169.47,2025-01-01T17:16:00
34,6,1,104.6,2025-01-01T10:46:00
35,7,3,262.41,2025-01-01T10:46:00
36,10,1,110.27,2025-01-01T10:46:00
37,13,1,89.73,2025-01-01T10:46:00
38,5,1,128.68,2025-01-01T18:28:00
39,18,3,478.41,2025-01-01T18:28:00
40,12,1,196.9,2025-01-01T18:28:00
41,16,3,566.25,2025-01-01T18:28:00
42,13,2,179.46,2025-01-01T18:28:00
43,7,3,262.41,2025-01-01T08:09:00
44,2,2,116.44,2025-01-01T08:09:00
45,19,2,364.98,2025-01-01T16:02:00
46,10,3,330.81,2025-01-01T16:02:00
47,15,2,273.96,2025-01-01T16:02:00
48,18,3,478.41,2025-01-01T21:53:00
49,15,1,136.98,2025-01-01T21:53:00
50,2,2,116.44,2025-01-01T21:53:00
51,20,2,209.72,2025-01-01T21:53:00
52,3,2,221.68,2025-01-01T13:41:00
53,6,2,209.2,2025-01-01T09:30:00
54,18,3,478.41,2025-01-01T09:30:00
55,8,3,321.27,2025-01-01T09:30:00
56,7,2,174.94,2025-01-01T10:26:00
57,18,2,318.94,2025-01-01T11:42:00
58,7,2,174.94,2025-01-01T11:42:00
59,9,1,52.75,2025-01-01T11:42:00
60,4,2,236.5,2025-01-01T11:42:00
61,15,3,410.94,2025-01-01T06:52:00
62,20,3,314.58,2025-01-01T06:52:00
63,16,1,188.75,2025-01-01T06:52:00
64,9,1,52.75,2025-01-01T16:21:00
65,2,3,174.66,2025-01-01T15:28:00
66,18,2,318.94,2025-01-01T15:28:00
67,3,1,110.84,2025-01-01T15:28:00
68,9,1,52.75,2025-01-01T15:28:00
69,1,1,62.44,2025-01-01T15:28:00
70,16,3,566.25,2025-01-01T10:21:00
71,15,2,273.96,2025-01-01T10:21:00
72,6,1,104.6,2025-01-01T06:28:00
73,1,2,124.88,2025-01-01T06:28:00
74,18,3,478.41,2025-01-01T06:28:00
75,10,1,110.27,2025-01-01T06:28:00
76,8,1,107.09,2025-01-01T09:47:00
77,13,2,179.46,2025-01-01T09:47:00
78,11,3,172.56,2025-01-01T09:47:00
79,6,2,209.2,2025-01-01T09:47:00
80,14,3,169.47,2025-01-01T09:47:00
81,18,1,159.47,2025-01-01T21:16:00
82,7,2,174.94,2025-01-01T21:16:00
83,6,1,104.6,2025-01-01T15:30:00
84,12,3,590.7,2025-01-01T15:30:00
85,13,3,269.19,2025-01-01T15:30:00
86,17,1,185.43,2025-01-01T19:46:00
87,10,1,110.27,2025-01-01T19:46:00
88,16,2,377.5,2025-01-01T06:12:00
89,16,3,566.25,2025-01-01T20:49:00
90,1,3,187.32,2025-01-01T19:37:00
91,6,1,104.6,2025-01-01T19:37:00
92,10,1,110.27,2025-01-01T16:47:00
93,16,1,188.75,2025-01-01T19:20:00
94,5,3,386.04,2025-01-01T19:20:00
95,2,3,174.66,2025-01-01T19:20:00
96,19,3,547.47,2025-01-01T19:20:00
97,3,3,332.52,2025-01-01T13:13:00
98,6,2,209.2,2025-01-01T09:04:00
99,6,1,104.6,2025-01-01T15:30:00
100,4,1,118.25,2025-01-01T15:30:00
101,12,3,590.7,2025-01-01T10:56:00
102,8,1,107.09,2025-01-01T10:56:00
103,18,1,159.47,2025-01-01T10:56:00
104,9,1,52.75,2025-01-01T10:56:00
105,20,2,209.72,2025-01-01T12:20:00
106,4,1,118.25,2025-01-01T12:20:00
107,16,3,566.25,2025-01-01T12:20:00
108,17,1,185.43,2025-01-01T12:20:00
109,11,1,57.52,2025-01-01T11:15:00
110,6,2,209.2,2025-01-01T11:15:00
111,18,1,159.47,2025-01-01T11:15:00
112,17,2,370.86,2025-01-01T06:25:00
113,12,3,590.7,2025-01-01T06:25:00
114,17,1,185.43,2025-01-01T20:19:00
115,16,1,188.75,2025-01-01T20:19:00
116,12,1,196.9,2025-01-01T20:19:00
117,1,1,62.44,2025-01-01T11:20:00
118,8,3,321.27,2025-01-01T11:20:00
119,7,3,262.41,2025-01-01T15:50:00
120,20,2,209.72,2025-01-01T15:50:00
121,12,2,393.8,2025-01-01T10:38:00
122,14,2,112.98,2025-01-01T10:38:00
123,20,3,314.58,2025-01-01T10:38:00
124,13,1,89.73,2025-01-01T10:38:00
125,1,1,62.44,2025-01-01T11:22:00
126,16,3,566.25,2025-01-01T11:22:00
127,8,3,321.27,2025-01-01T13:41:00
128,17,1,185.43,2025-01-01T13:41:00
129,7,1,87.47,2025-01-01T13:41:00
130,1,3,187.32,2025-01-01T09:14:00
131,7,2,174.94,2025-01-01T09:14:00
132,11,2,115.04,2025-01-01T09:14:00
133,10,2,220.54,2025-01-01T07:20:00
134,20,1,104.86,2025-01-01T07:20:00
135,15,2,273.96,2025-01-01T07:20:00
136,6,1,104.6,2025-01-01T07:20:00
137,9,2,105.5,2025-01-01T06:18:00
138,8,2,214.18,2025-01-01T06:18:00
139,16,2,377.5,2025-01-01T06:18:00
140,4,3,354.75,2025-01-01T06:18:00
141,5,2,257.36,2025-01-01T06:18:00
142,17,1,185.43,2025-01-02T13:37:00
143,11,1,57.52,2025-01-02T07:23:00
144,17,2,370.86,2025-01-02T07:23:00
145,4,1,118.25,2025-01-02T07:23:00
146,12,2,393.8,2025-01-02T07:23:00
147,14,2,112.98,2025-01-02T17:29:00
148,13,2,179.46,2025-01-02T17:29:00
149,2,2,116.44,2025-01-02T17:29:00
150,12,2,393.8,2025-01-02T17:05:00
151,6,1,104.6,2025-01-02T17:05:00
152,8,1,107.09,2025-01-02T17:05:00
153,16,1,188.75,2025-01-02T17:05:00
154,18,2,318.94,2025-01-02T17:25:00
155,15,3,410.94,2025-01-02T17:25:00
156,19,3,547.47,2025-01-02T14:16:00
157,14,3,169.47,2025-01-02T14:16:00
158,6,3,313.8,2025-01-02T22:26:00
159,16,3,566.25,2025-01-02T22:26:00
160,8,2,214.18,2025-01-02T22:26:00
161,18,3,478.41,2025-01-02T21:09:00
162,10,3,330.81,2025-01-02T21:09:00
163,5,2,257.36,2025-01-02T16:05:00
164,16,2,377.5,2025-01-02T16:05:00
165,20,1,104.86,2025-01-02T13:03:00
166,3,3,332.52,2025-01-02T14:20:00
167,16,2,377.5,2025-01-02T06:42:00
168,14,3,169.47,2025-01-02T06:42:00
169,17,2,370.86,2025-01-02T06:42:00
170,20,3,314.58,2025-01-02T06:42:00
171,20,2,209.72,2025-01-02T07:28:00
172,18,3,478.41,2025-01-02T06:50:00
173,3,3,332.52,2025-01-02T06:50:00
174,1,3,187.32,2025-01-02T06:50:00
175,15,2,273.96,2025-01-02T10:34:00
176,17,2,370.86,2025-01-02T07:26:00
177,14,1,56.49,2025-01-02T07:26:00
178,6,3,313.8,2025-01-02T07:26:00
179,9,2,105.5,2025-01-02T15:41:00
180,2,1,58.22,2025-01-02T15:41:00
181,20,3,314.58,2025-01-02T06:09:00
182,1,2,124.88,2025-01-02T06:09:00
183,13,2,179.46,2025-01-02T06:09:00
184,16,1,188.75,2025-01-02T07:42:00
185,1,3,187.32,2025-01-02T07:42:00
186,3,3,332.52,2025-01-02T07:42:00
187,2,3,174.66,2025-01-02T07:13:00
188,5,1,128.68,2025-01-02T07:13:00
189,5,3,386.04,2025-01-02T10:54:00
190,11,2,115.04,2025-01-02T10:54:00
191,1,2,124.88,2025-01-02T20:14:00
192,18,1,159.47,2025-01-02T20:14:00
193,4,3,354.75,2025-01-02T20:14:00
194,7,3,262.41,2025-01-02T20:14:00
195,10,1,110.27,2025-01-02T19:21:00
196,10,3,330.81,2025-01-02T17:26:00
197,1,1,62.44,2025-01-02T11:21:00
198,9,2,105.5,2025-01-02T11:21:00
199,4,1,118.25,2025-01-02T11:21:00
200,20,1,104.86,2025-01-02T11:21:00
201,5,3,386.04,2025-01-02T21:13:00
202,1,3,187.32,2025-01-02T21:13:00
203,14,2,112.98,2025-01-02T21:13:00
204,9,3,158.25,2025-01-02T21:13:00
205,12,1,196.9,2025-01-02T21:13:00
206,12,2,393.8,2025-01-02T13:55:00
207,11,3,172.56,2025-01-02T13:55:00
208,7,2,174.94,2025-01-02T13:55:00
209,19,1,182.49,2025-01-02T13:55:00
210,15,3,410.94,2025-01-02T13:55:00
211,19,3,547.47,2025-01-02T10:38:00
212,17,1,185.43,2025-01-02T10:38:00
213,15,2,273.96,2025-01-02T10:38:00
214,18,2,318.94,2025-01-02T10:38:00
215,14,2,112.98,2025-01-02T09:49:00
216,10,3,330.81,2025-01-02T22:08:00
217,15,2,273.96,2025-01-02T22:08:00
218,18,3,478.41,2025-01-02T22:08:00
219,1,1,62.44,2025-01-02T22:08:00
220,7,3,262.41,2025-01-02T22:40:00
221,1,2,124.88,2025-01-02T22:40:00
222,15,2,273.96,2025-01-02T22:40:00
223,3,1,110.84,2025-01-02T22:40:00
224,12,3,590.7,2025-01-02T22:40:00
225,1,3,187.32,2025-01-02T16:30:00
226,5,1,128.68,2025-01-02T09:04:00
227,2,2,116.44,2025-01-02T09:04:00
228,18,2,318.94,2025-01-02T09:04:00
229,11,1,57.52,2025-01-02T09:04:00
230,3,2,221.68,2025-01-02T09:04:00
231,14,2,112.98,2025-01-02T16:42:00
232,19,2,364.98,2025-01-02T18:21:00
233,7,2,174.94,2025-01-02T13:57:00
234,6,2,209.2,2025-01-02T16:32:00
235,2,3,174.66,2025-01-02T11:25:00
236,4,1,118.25,2025-01-02T07:24:00
237,17,3,556.29,2025-01-02T13:18:00
238,20,2,209.72,2025-01-02T12:19:00
239,4,1,118.25,2025-01-02T12:19:00
240,7,1,87.47,2025-01-02T12:19:00
241,12,3,590.7,2025-01-02T20:42:00
242,11,2,115.04,2025-01-02T20:42:00
243,1,3,187.32,2025-01-02T20:42:00
244,11,3,172.56,2025-01-02T16:27:00
245,18,3,478.41,2025-01-02T16:27:00
246,8,1,107.09,2025-01-02T08:39:00
247,6,3,313.8,2025-01-02T18:06:00
248,3,3,332.52,2025-01-02T18:06:00
249,18,1,159.47,2025-01-02T18:06:00
250,20,2,209.72,2025-01-02T18:06:00
251,1,1,62.44,2025-01-02T18:06:00
252,12,1,196.9,2025-01-02T13:29:00
253,2,3,174.66,2025-01-02T13:29:00
254,5,1,128.68,2025-01-02T13:29:00
255,7,2,174.94,2025-01-02T13:29:00
256,11,1,57.52,2025-01-02T13:29:00
257,1,1,62.44,2025-01-02T13:57:00
258,12,1,196.9,2025-01-02T11:06:00
259,2,1,58.22,2025-01-02T11:06:00
260,4,3,354.75,2025-01-02T15:04:00
261,8,2,214.18,2025-01-02T15:04:00
262,2,2,116.44,2025-01-02T22:09:00
263,13,3,269.19,2025-01-02T22:09:00
264,14,1,56.49,2025-01-02T22:09:00
265,17,3,556.29,2025-01-02T22:09:00
266,8,1,107.09,2025-01-02T19:06:00
267,1,2,124.88,2025-01-02T09:40:00
268,5,1,128.68,2025-01-02T09:40:00
269,8,3,321.27,2025-01-02T09:45:00
270,20,3,314.58,2025-01-02T09:45:00
271,19,1,182.49,2025-01-02T09:45:00
272,2,2,116.44,2025-01-02T11:40:00
273,5,2,257.36,2025-01-02T11:40:00
274,14,3,169.47,2025-01-02T11:40:00
275,13,2,179.46,2025-01-02T11:40:00
276,9,1,52.75,2025-01-02T11:40:00
277,10,3,330.81,2025-01-02T10:09:00
278,6,3,313.8,2025-01-02T10:09:00
279,17,1,185.43,2025-01-02T06:31:00
280,12,2,393.8,2025-01-02T06:31:00
281,6,1,104.6,2025-01-02T13:34:00
282,12,3,590.7,2025-01-02T13:34:00
283,4,2,236.5,2025-01-02T08:22:00
284,2,3,174.66,2025-01-02T08:22:00
285,15,3,410.94,2025-01-02T20:22:00
286,1,2,124.88,2025-01-02T20:22:00
287,11,2,115.04,2025-01-02T20:22:00
288,4,3,354.75,2025-01-02T18:54:00
289,5,3,386.04,2025-01-02T17:41:00
290,2,3,174.66,2025-01-02T17:41:00
291,9,2,105.5,2025-01-02T17:41:00
292,13,2,179.46,2025-01-02T17:41:00
293,2,1,58.22,2025-01-02T14:14:00
294,15,3,410.94,2025-01-02T14:14:00
295,3,2,221.68,2025-01-02T14:14:00
296,14,1,56.49,2025-01-02T14:14:00
297,9,2,105.5,2025-01-02T21:51:00
298,2,1,58.22,2025-01-02T21:51:00
299,7,2,174.94,2025-01-02T21:51:00
300,5,1,128.68,2025-01-02T18:42:00
301,12,2,393.8,2025-01-02T13:55:00
302,16,3,566.25,2025-01-02T13:55:00
303,4,1,118.25,2025-01-02T22:33:00
304,16,1,188.75,2025-01-02T22:33:00
305,3,1,110.84,2025-01-02T22:33:00
306,8,1,107.09,2025-01-02T22:33:00
307,10,1,110.27,2025-01-02T13:05:00
308,20,2,209.72,2025-01-02T13:05:00
309,18,1,159.47,2025-01-02T13:05:00
310,13,3,269.19,2025-01-02T13:05:00
311,3,3,332.52,2025-01-02T18:06:00
312,20,2,209.72,2025-01-02T18:06:00
313,12,1,196.9,2025-01-02T18:06:00
314,18,2,318.94,2025-01-02T18:06:00
