id,created_at,total_amount,customer_age,customer_gender,store_location
1,2025-03-01T06:57:22,680.43,43,Female,Makati
2,2025-03-01T06:09:58,502.97,33,Male,Iloilo
3,2025-03-01T06:54:27,226.82,40,Female,Baguio
4,2025-03-01T06:36:34,598.32,24,Male,Iloilo
5,2025-03-01T06:54:21,1647.04,37,Male,Manila
6,2025-03-01T06:55:58,385.28,64,Female,Davao
7,2025-03-01T06:36:02,1207.78,26,Female,Makati
8,2025-03-01T06:48:07,222.15,39,Female,Manila
9,2025-03-01T06:35:42,394.32,46,Female,Makati
10,2025-03-01T07:10:50,922.5,34,Female,Cebu
11,2025-03-01T07:53:14,487.2,64,Female,Iloilo
12,2025-03-01T07:27:35,650.13,18,Female,Cebu
13,2025-03-01T08:50:26,187.97,29,Female,Manila
14,2025-03-01T08:56:46,712.47,33,Female,Makati
15,2025-03-01T08:47:27,218.44,40,Male,Davao
16,2025-03-01T08:03:36,574.87,37,Female,Manila
17,2025-03-01T08:37:31,426.63,28,Male,Cebu
18,2025-03-01T08:03:40,414.51,27,Female,Makati
19,2025-03-01T08:48:58,859.02,28,Female,Quezon City
20,2025-03-01T08:19:35,496.45,35,Female,Iloilo
21,2025-03-01T08:00:43,634.64,34,Male,Manila
22,2025-03-01T09:10:12,948.1,22,Female,Quezon City
23,2025-03-01T09:04:08,1376.73,19,Male,Davao
24,2025-03-01T09:02:21,102.66,30,Male,Manila
25,2025-03-01T10:27:26,1032.84,43,Female,Iloilo
26,2025-03-01T10:23:01,336.69,21,Female,Cebu
27,2025-03-01T10:10:13,866.46,38,Female,Iloilo
28,2025-03-01T10:11:12,639.96,25,Male,Pasig
29,2025-03-01T10:14:19,894.24,26,Male,Pasig
30,2025-03-01T10:08:16,653.74,45,Male,Manila
31,2025-03-01T10:50:57,1090.12,29,Male,Cebu
32,2025-03-01T11:18:38,263.44,31,Male,Baguio
33,2025-03-01T11:12:11,1173.46,20,Female,Davao
34,2025-03-01T11:30:05,758.06,30,Male,Quezon City
35,2025-03-01T11:14:44,269.84,58,Female,Iloilo
36,2025-03-01T11:18:25,853.66,40,Male,Cebu
37,2025-03-01T11:17:33,396.83,38,Male,Pasig
38,2025-03-01T11:59:14,201.12,34,Male,Quezon City
39,2025-03-01T11:01:20,566.36,37,Female,Manila
40,2025-03-01T11:54:27,1012.77,33,Male,Manila
41,2025-03-01T11:09:23,583.98,34,Female,Manila
42,2025-03-01T11:31:10,614.43,28,Female,Davao
43,2025-03-01T11:29:54,677.32,41,Female,Baguio
44,2025-03-01T11:22:54,131.2,25,Male,Cebu
45,2025-03-01T11:21:40,421.94,25,Female,Iloilo
46,2025-03-01T11:51:01,391.78,31,Female,Baguio
47,2025-03-01T11:59:45,632.04,58,Female,Davao
48,2025-03-01T11:18:14,331.83,23,Female,Pasig
49,2025-03-01T11:48:36,267.1,31,Male,Manila
50,2025-03-01T11:30:40,1047.58,20,Male,Baguio
51,2025-03-01T11:44:19,36.22,28,Female,Davao
52,2025-03-01T11:43:01,864.63,24,Male,Iloilo
53,2025-03-01T11:55:35,1047.44,36,Female,Makati
54,2025-03-01T11:36:30,538.51,25,Female,Cebu
55,2025-03-01T11:06:14,536.31,41,Male,Iloilo
56,2025-03-01T12:23:21,315.22,32,Female,Manila
57,2025-03-01T12:13:51,291.12,25,Female,Davao
58,2025-03-01T12:41:43,881.34,37,Female,Iloilo
