id,created_at,total_amount,items_count
1,2025-01-01T17:26:00,1576.62,11
2,2025-01-01T10:37:00,520.48,4
3,2025-01-01T10:40:00,79.18,1
4,2025-01-01T09:25:00,1334.06,11
5,2025-01-01T21:19:00,786.32,9
6,2025-01-01T06:14:00,612.85,8
7,2025-01-01T09:11:00,513.0,5
8,2025-01-01T06:06:00,522.0,3
9,2025-01-01T10:55:00,1500.73,10
10,2025-01-01T16:03:00,936.35,9
11,2025-01-01T17:16:00,899.0,7
12,2025-01-01T10:46:00,1044.87,9
13,2025-01-01T18:28:00,529.4,7
14,2025-01-01T08:09:00,714.39,6
15,2025-01-01T16:02:00,107.3,1
16,2025-01-01T21:53:00,736.77,6
17,2025-01-01T13:41:00,1065.49,7
18,2025-01-01T09:30:00,1391.13,9
19,2025-01-01T10:26:00,298.92,4
20,2025-01-01T11:42:00,538.48,5
21,2025-01-01T06:52:00,1042.23,10
22,2025-01-01T16:21:00,768.45,6
23,2025-01-01T15:28:00,837.41,6
24,2025-01-01T10:21:00,535.42,6
25,2025-01-01T06:28:00,127.77,1
26,2025-01-01T09:47:00,585.67,5
27,2025-01-01T21:16:00,759.9,6
28,2025-01-01T15:30:00,104.59,1
29,2025-01-01T19:46:00,251.1,2
30,2025-01-01T06:12:00,864.13,7
31,2025-01-01T20:49:00,765.37,5
32,2025-01-01T19:37:00,726.01,6
33,2025-01-01T16:47:00,726.07,4
34,2025-01-01T19:20:00,103.71,1
35,2025-01-01T13:13:00,381.28,2
36,2025-01-01T09:04:00,1134.57,9
37,2025-01-01T15:30:00,174.09,1
38,2025-01-01T10:56:00,204.18,3
39,2025-01-01T12:20:00,1025.68,9
40,2025-01-01T11:15:00,533.26,6
41,2025-01-01T06:25:00,209.92,2
42,2025-01-01T20:19:00,174.91,1
43,2025-01-01T11:20:00,173.67,3
44,2025-01-01T15:50:00,1189.75,10
45,2025-01-01T10:38:00,335.41,3
46,2025-01-01T11:22:00,981.5,10
47,2025-01-01T13:41:00,365.54,4
48,2025-01-01T09:14:00,1000.22,8
49,2025-01-01T07:20:00,724.26,5
50,2025-01-01T06:18:00,653.83,7
51,2025-01-02T13:37:00,336.84,3
52,2025-01-02T07:23:00,921.45,7
53,2025-01-02T17:29:00,655.57,6
54,2025-01-02T17:05:00,690.16,4
