id,transaction_id,product_id,quantity,price
18,7,35,2,146.85
19,7,8,3,73.25
20,7,29,4,13.57
26,10,6,4,18.64
27,10,33,1,93.83
28,10,10,3,144.15
29,10,33,1,175.99
30,10,1,5,180.32
57,19,7,3,16.93
58,19,34,1,88.58
59,19,17,3,62.49
60,19,35,4,164.93
61,19,1,2,111.46
90,28,30,5,193.89
111,36,5,1,54.89
112,36,32,4,84.59
113,36,22,3,27.94
114,36,4,5,130.57
115,36,14,1,18.51
134,43,26,5,78.94
135,43,11,1,62.72
136,43,4,3,178.99
137,44,31,4,51.35
145,47,37,1,90.09
158,54,4,4,69.58
159,54,5,5,127.73
160,54,26,4,44.74
161,54,24,4,159.63
162,54,4,1,40.54
181,59,29,4,60.78
182,59,17,5,123.89
183,59,16,4,66.12
184,59,16,3,116.74
286,91,3,4,26.07
287,91,16,2,138.83
288,91,25,2,68.58
289,91,31,4,78.05
290,91,18,3,146.72
301,97,35,5,120.89
302,97,19,5,144.47
303,97,26,5,63.92
330,107,1,1,133.02
331,107,24,3,24.45
332,107,33,1,82.42
333,107,18,4,98.95
368,118,35,3,108.3
369,118,32,3,156.55
370,118,16,4,115.34
371,118,28,2,32.59
372,118,9,3,180.11
403,129,38,4,92.19
404,129,23,1,81.94
405,129,26,1,72.58
406,129,25,5,39.89
407,129,37,3,97.67
416,133,9,3,121.08
478,153,5,1,98.24
479,153,1,2,134.44
480,153,23,2,43.57
481,153,38,2,111.06
482,154,33,1,155.36
483,154,26,3,63.87
484,154,14,2,53.29
485,154,8,3,80.13
499,159,34,2,42.72
500,159,36,2,111.66
501,159,37,5,122.4
522,167,3,4,30.95
523,167,10,2,99.38
524,167,26,3,143.37
525,167,9,4,65.99
591,189,9,3,53.72
592,189,21,3,96.4
624,201,13,1,136.27
625,201,6,2,108.84
643,208,30,4,10.37
679,225,9,4,63.86
695,229,11,4,85.66
696,229,10,2,12.37
697,229,2,1,112.7
698,229,33,3,78.19
699,229,2,4,66.89
707,232,22,1,26.85
708,232,2,2,175.92
741,242,7,3,169.9
742,242,3,2,115.99
743,242,8,3,159.04
744,242,27,4,66.34
745,242,35,2,74.0
751,244,38,1,22.1
769,252,13,5,57.84
770,252,14,5,50.12
771,252,9,1,32.52
772,252,11,3,39.25
773,252,14,4,132.64
795,259,12,4,171.54
796,259,2,1,71.71
797,259,5,2,67.45
798,259,20,1,192.85
799,259,1,2,79.91
862,283,5,4,38.51
863,283,20,5,15.01
864,283,15,2,175.36
956,318,24,2,47.52
957,318,22,1,35.68
961,320,32,4,28.33
962,320,37,5,146.45
963,320,32,3,156.06
964,320,21,3,143.58
965,320,3,1,49.12
966,321,29,4,132.75
967,321,29,4,182.34
968,321,37,1,193.39
969,321,10,5,199.71
970,321,38,5,24.82
1004,334,24,2,54.08
1005,334,7,5,172.87
1006,334,23,3,140.49
1007,334,1,4,66.68
1019,340,35,2,26.71
1020,340,38,3,44.22
1031,345,22,5,13.02
1032,345,23,3,84.82
1033,345,19,2,150.63
1046,350,20,1,178.26
1047,350,5,5,10.04
1076,360,26,1,36.38
1156,388,12,1,80.64
1157,388,4,4,79.67
1158,388,36,5,47.64
1159,388,24,4,140.4
1201,401,33,4,193.54
1202,401,17,4,149.11
1216,407,32,1,25.15
1217,407,15,1,169.51
1218,407,2,5,148.14
1225,410,10,1,114.4
1226,410,22,5,184.61
1227,410,7,1,114.88
1228,411,2,2,14.92
1229,411,27,2,198.02
1230,411,20,1,29.33
1231,411,31,2,81.06
1262,421,1,4,73.64
1263,421,24,3,72.73
1264,421,9,3,160.53
1265,421,4,3,110.19
1268,423,11,4,106.49
1269,423,17,4,12.23
1270,424,31,3,62.27
1303,435,4,4,192.57
1304,435,6,2,107.49
1325,442,27,2,91.82
1326,442,28,1,156.32
1327,442,1,2,132.8
1328,442,15,3,194.82
1331,445,13,2,184.16
1332,445,2,4,143.09
1333,445,15,4,174.77
1348,453,27,1,164.37
1349,453,8,5,194.05
1399,471,14,3,185.91
1402,473,15,4,159.08
1403,473,36,3,159.09
1404,473,18,3,85.38
1405,473,30,2,198.38
1408,475,23,3,168.96
1409,475,10,5,79.56
1410,475,17,4,21.11
1411,475,4,2,40.1
1412,476,1,3,21.17
1413,476,26,3,112.18
1414,476,2,1,45.35
1454,489,30,3,18.09
1455,489,8,4,135.67
1507,509,2,3,190.51
1508,509,15,5,59.5
1510,511,32,5,118.13
1511,511,4,1,85.88
1522,515,4,4,136.26
1523,515,28,5,17.98
1524,515,1,5,67.48
1525,515,9,5,95.96
1526,515,1,2,184.33
1541,521,16,4,94.61
1542,521,33,2,108.2
1543,521,13,1,131.62
1544,521,15,3,112.17
1559,526,16,1,163.68
1560,526,3,2,196.92
1561,526,28,1,26.4
1587,535,35,2,26.73
1590,537,21,4,90.02
1591,537,16,4,170.81
1592,537,5,4,149.04
1615,547,15,5,129.5
1616,547,24,4,25.79
1730,589,30,1,123.46
1731,589,3,4,118.05
1732,589,14,5,187.84
1737,591,2,1,61.02
1738,591,3,3,137.21
1739,591,4,2,81.47
1740,591,34,4,164.75
1770,602,24,1,14.96
1788,607,20,5,10.68
1789,607,31,4,34.62
1799,610,33,4,77.53
1800,610,14,1,51.22
1801,610,30,1,75.4
1843,627,5,4,37.68
1864,635,4,5,166.28
1865,635,31,2,33.63
1894,646,20,1,84.85
1895,646,23,4,187.76
1896,646,2,5,132.03
1915,652,28,5,154.2
1920,654,22,3,91.78
1921,654,6,3,92.51
1922,654,2,3,180.33
1923,654,39,4,122.3
1931,660,2,5,120.47
1932,660,5,4,164.42
1933,660,16,4,126.9
1934,660,1,2,180.22
1935,660,14,4,89.3
1981,673,34,2,97.97
1982,673,26,4,32.87
1983,673,37,2,65.88
2020,686,1,5,107.27
2021,686,38,2,97.82
2022,686,8,4,47.02
2023,686,31,5,16.36
2103,711,25,2,182.16
2104,711,6,1,39.21
2105,711,3,4,10.7
2106,712,31,2,184.97
2107,712,20,3,190.53
2108,712,14,4,72.64
2109,712,33,1,173.31
2110,712,16,1,154.72
2121,716,10,4,78.01
2122,716,21,4,160.7
2123,716,27,5,46.56
2124,716,31,1,105.41
2140,723,32,2,36.24
2141,723,16,1,69.28
2156,728,30,3,104.02
2157,728,1,5,182.84
2158,728,22,2,18.13
2159,728,1,1,156.89
2200,743,29,5,12.87
2201,743,9,2,12.39
2202,743,1,3,117.1
2205,746,34,2,109.29
2214,751,39,5,157.59
2215,751,4,5,13.76
2216,751,30,2,191.53
2217,751,6,4,142.14
2220,754,20,4,142.62
2221,754,32,5,185.81
2222,754,21,4,152.16
2223,754,37,4,160.66
2236,758,15,4,134.22
2237,758,15,2,75.77
2238,758,18,3,55.54
2239,758,22,2,158.6
2240,758,28,2,45.18
2284,772,15,3,82.85
2285,772,39,1,96.22
2286,772,37,5,127.62
2287,772,11,2,102.91
2376,804,11,1,50.93
2377,804,17,1,133.88
2378,804,34,4,152.2
2379,804,14,1,181.5
2380,804,2,1,57.59
2431,822,10,2,199.77
2432,822,29,4,158.51
2433,822,10,4,169.58
2434,823,17,3,120.92
2435,823,18,5,153.47
2436,823,23,4,33.97
2437,824,4,4,42.27
2447,829,28,3,15.32
2448,829,22,4,171.2
2449,829,30,4,12.3
2456,833,26,5,190.87
2457,833,39,3,141.35
2458,833,30,1,50.63
2481,842,35,4,182.3
2482,842,30,3,100.26
2483,842,5,3,143.04
2484,842,12,5,196.78
2485,842,37,3,96.5
2486,843,5,3,103.39
2495,846,38,4,186.7
2496,846,20,4,173.16
2497,846,27,3,182.35
2498,846,17,3,109.2
2499,846,13,1,136.14
2516,854,10,5,155.47
2517,854,19,3,135.58
2518,854,25,1,116.19
2519,854,33,2,13.93
2529,859,1,1,156.52
2530,859,20,4,143.05
2531,859,35,4,120.03
2532,859,14,5,93.02
2533,859,38,5,17.83
2597,879,29,1,126.39
2598,879,19,5,162.03
2599,879,34,2,45.0
2632,888,9,4,68.82
2633,888,2,2,14.02
2634,889,9,2,133.93
2647,894,31,1,185.01
2715,917,32,5,173.88
2716,917,37,2,121.15
2717,917,37,3,76.95
2723,920,3,5,158.31
2724,920,28,2,188.29
2725,920,32,3,47.69
2726,920,36,4,116.19
2727,920,31,3,158.09
2756,932,35,4,27.58
2757,932,26,2,51.4
2775,937,20,5,96.22
2815,950,1,2,47.44
2816,950,2,2,122.25
2840,959,28,3,190.44
2841,959,21,5,18.58
2844,961,10,5,61.33
2845,961,31,3,20.44
2846,961,37,5,88.91
2847,961,32,4,191.33
2858,965,37,5,66.63
2890,978,7,1,152.89
2891,978,31,5,26.04
2907,983,28,1,193.76
2908,983,35,4,95.89
2909,983,18,5,176.76
2910,983,34,5,28.55
2911,983,4,2,101.97
2922,987,17,3,173.63
2923,987,27,3,149.55
2924,987,4,5,24.81
2946,993,3,4,59.03
2947,993,21,3,83.89
2948,993,30,4,157.78
2949,994,33,2,110.02
2950,994,7,1,186.19
2951,994,5,5,90.93
2952,994,4,5,165.06
2953,994,14,5,179.02
2960,997,2,2,144.8
2961,997,12,1,77.09
2967,999,6,3,11.21
2968,999,32,5,42.86
3039,1021,27,3,37.06
3040,1021,22,3,79.37
3041,1021,35,5,136.86
3089,1036,15,2,132.95
