id,created_at,total_amount,customer_age,customer_gender,store_location
10477,2025-04-09T06:44:56,2405.39,21,Other,Region 7
1825,2025-01-17T15:45:49,760.15,56,Female,Region 8
410,2025-01-04T13:53:46,1152.33,24,Female,Region 3
12150,2025-04-26T19:53:28,1549.04,60,Other,Region 10
4507,2025-02-12T22:27:14,1170.31,11,Male,Region 6
4013,2025-02-08T14:44:11,1070.44,67,Other,Region 9
3658,2025-02-05T21:09:18,145.64,41,Other,Region 1
2287,2025-01-22T06:26:02,143.04,65,Other,Region 1
12067,2025-04-24T18:57:21,937.29,78,Male,Region 1
1680,2025-01-16T21:09:55,562.9,73,Male,Region 2
11088,2025-04-16T06:47:56,971.52,13,Female,Region 6
12136,2025-04-26T15:07:50,393.1,41,Male,Region 2
14618,2025-05-18T19:42:12,1353.96,76,Female,Region 7
8936,2025-03-26T15:53:24,1443.7,53,Female,Region 10
1425,2025-01-14T19:28:05,1160.93,14,Other,Region 8
9675,2025-04-02T08:35:16,339.22,41,Male,Region 7
6913,2025-03-07T10:45:55,477.35,25,Other,Region 10
521,2025-01-05T10:11:32,1062.97,13,Other,Region 5
489,2025-01-05T16:15:42,596.95,63,Female,Region 4
1536,2025-01-15T22:52:43,1176.32,27,Male,Region 6
3583,2025-02-04T22:34:20,479.55,80,Male,Region 2
3812,2025-02-07T20:58:20,406.43,60,Male,Region 10
8280,2025-03-20T10:16:02,808.92,57,Male,Region 8
9864,2025-04-03T13:53:13,852.78,68,Other,Region 1
435,2025-01-05T15:46:59,985.26,21,Male,Region 2
9196,2025-03-29T09:11:48,460.0,79,Male,Region 8
3258,2025-01-31T20:41:51,1625.5,49,Other,Region 8
11732,2025-04-22T21:22:48,364.64,65,Female,Region 9
10648,2025-04-11T11:16:32,2139.97,22,Other,Region 2
11491,2025-04-19T21:19:12,159.7,18,Female,Region 9
8929,2025-03-26T12:19:26,179.14,35,Male,Region 5
6874,2025-03-06T20:01:26,1139.16,54,Male,Region 8
3612,2025-02-04T13:52:27,515.91,49,Male,Region 5
7360,2025-03-11T08:26:08,1032.49,19,Female,Region 7
9655,2025-04-02T09:48:17,169.89,75,Male,Region 3
4558,2025-02-13T20:38:06,2495.57,59,Female,Region 6
13262,2025-05-05T22:21:47,1792.66,70,Female,Region 6
14243,2025-05-14T13:16:06,2094.88,48,Male,Region 6
107,2025-01-02T15:29:40,684.59,80,Female,Region 5
